Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents,Publication Year
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2008
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2008
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2008
7,"social, study, research, explore, influence, experience, group, behaviour, network, individual",,,2008
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2008
14,"system, energy, technology, design, environmental, project, management, sustainable, area, environment",,,2008
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2008
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2008
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2008
17,"cost, show, structure, result, good, rule, reduce, case, optimal, study",,,2008
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2008
7,"social, study, research, explore, influence, experience, group, behaviour, network, individual",,,2008
0,"datum, paper, analysis, provide, economic, regional, level, region, term, number",,,2008
7,"social, study, research, explore, influence, experience, group, behaviour, network, individual",,,2008
15,"firm, effect, find, level, large, small, evidence, size, result, export",,,2008
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2008
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2008
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2008
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2008
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2008
15,"firm, effect, find, level, large, small, evidence, size, result, export",,,2008
17,"cost, show, structure, result, good, rule, reduce, case, optimal, study",,,2008
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2008
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2008
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2008
5,"business, practice, research, process, chapter, management, knowledge, approach, development, focus",,,2008
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2008
16,"change, income, irish, tax, paper, household, demand, rate, consumption, increase",,,2008
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2008
3,"paper, relationship, finding, consumer, study, company, purpose, base, approach, report",,,2008
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2008
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2008
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2008
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2008
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2008
19,"policy, government, state, public, development, irish, local, political, interest, reform",,,2008
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2008
12,"service, year, health, child, care, study, programme, control, early, life",,,2008
6,"information, time, method, problem, make, approach, provide, process, standard, option",,,2008
3,"paper, relationship, finding, consumer, study, company, purpose, base, approach, report",,,2008
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2008
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2008
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2008
12,"service, year, health, child, care, study, programme, control, early, life",,,2008
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2008
16,"change, income, irish, tax, paper, household, demand, rate, consumption, increase",,,2008
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2008
14,"system, energy, technology, design, environmental, project, management, sustainable, area, environment",,,2008
0,"datum, paper, analysis, provide, economic, regional, level, region, term, number",,,2008
5,"business, practice, research, process, chapter, management, knowledge, approach, development, focus",,,2008
12,"service, year, health, child, care, study, programme, control, early, life",,,2008
0,"datum, paper, analysis, provide, economic, regional, level, region, term, number",,,2008
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2008
15,"firm, effect, find, level, large, small, evidence, size, result, export",,,2008
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2008
12,"service, year, health, child, care, study, programme, control, early, life",,,2008
12,"service, year, health, child, care, study, programme, control, early, life",,,2008
0,"datum, paper, analysis, provide, economic, regional, level, region, term, number",,,2008
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2008
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2008
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2008
7,"social, study, research, explore, influence, experience, group, behaviour, network, individual",,,2008
0,"datum, paper, analysis, provide, economic, regional, level, region, term, number",,,2008
5,"business, practice, research, process, chapter, management, knowledge, approach, development, focus",,,2008
5,"business, practice, research, process, chapter, management, knowledge, approach, development, focus",,,2008
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2008
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2008
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2008
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2008
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2008
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2008
7,"social, study, research, explore, influence, experience, group, behaviour, network, individual",,,2008
15,"firm, effect, find, level, large, small, evidence, size, result, export",,,2008
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2008
14,"system, energy, technology, design, environmental, project, management, sustainable, area, environment",,,2008
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2008
3,"paper, relationship, finding, consumer, study, company, purpose, base, approach, report",,,2008
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2008
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2008
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2008
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2008
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2008
16,"change, income, irish, tax, paper, household, demand, rate, consumption, increase",,,2008
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2008
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2008
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2008
5,"business, practice, research, process, chapter, management, knowledge, approach, development, focus",,,2008
7,"social, study, research, explore, influence, experience, group, behaviour, network, individual",,,2008
7,"social, study, research, explore, influence, experience, group, behaviour, network, individual",,,2008
19,"policy, government, state, public, development, irish, local, political, interest, reform",,,2008
12,"service, year, health, child, care, study, programme, control, early, life",,,2008
17,"cost, show, structure, result, good, rule, reduce, case, optimal, study",,,2008
6,"information, time, method, problem, make, approach, provide, process, standard, option",,,2008
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2008
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2008
12,"service, year, health, child, care, study, programme, control, early, life",,,2008
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2008
7,"social, study, research, explore, influence, experience, group, behaviour, network, individual",,,2008
15,"firm, effect, find, level, large, small, evidence, size, result, export",,,2008
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2008
0,"datum, paper, analysis, provide, economic, regional, level, region, term, number",,,2008
7,"social, study, research, explore, influence, experience, group, behaviour, network, individual",,,2008
15,"firm, effect, find, level, large, small, evidence, size, result, export",,,2008
15,"firm, effect, find, level, large, small, evidence, size, result, export",,,2007
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2007
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2007
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2007
5,"business, practice, research, process, chapter, management, knowledge, approach, development, focus",,,2007
12,"service, year, health, child, care, study, programme, control, early, life",,,2007
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2007
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2007
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2007
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2007
16,"change, income, irish, tax, paper, household, demand, rate, consumption, increase",,,2007
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2007
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2007
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2007
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2007
0,"datum, paper, analysis, provide, economic, regional, level, region, term, number",,,2007
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2007
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2007
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2007
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2007
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2007
17,"cost, show, structure, result, good, rule, reduce, case, optimal, study",,,2007
14,"system, energy, technology, design, environmental, project, management, sustainable, area, environment",,,2007
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2007
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2007
7,"social, study, research, explore, influence, experience, group, behaviour, network, individual",,,2007
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2007
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2007
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2007
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2007
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2007
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2007
5,"business, practice, research, process, chapter, management, knowledge, approach, development, focus",,,2007
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2007
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2007
6,"information, time, method, problem, make, approach, provide, process, standard, option",,,2007
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2007
7,"social, study, research, explore, influence, experience, group, behaviour, network, individual",,,2007
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2007
12,"service, year, health, child, care, study, programme, control, early, life",,,2007
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2007
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2007
17,"cost, show, structure, result, good, rule, reduce, case, optimal, study",,,2007
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2007
3,"paper, relationship, finding, consumer, study, company, purpose, base, approach, report",,,2007
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2007
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2007
6,"information, time, method, problem, make, approach, provide, process, standard, option",,,2007
0,"datum, paper, analysis, provide, economic, regional, level, region, term, number",,,2007
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2007
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2007
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2007
19,"policy, government, state, public, development, irish, local, political, interest, reform",,,2007
15,"firm, effect, find, level, large, small, evidence, size, result, export",,,2007
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2007
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2007
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2007
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2007
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2007
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2007
16,"change, income, irish, tax, paper, household, demand, rate, consumption, increase",,,2007
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2007
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2007
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2007
16,"change, income, irish, tax, paper, household, demand, rate, consumption, increase",,,2007
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2007
12,"service, year, health, child, care, study, programme, control, early, life",,,2007
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2007
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2007
17,"cost, show, structure, result, good, rule, reduce, case, optimal, study",,,2007
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2007
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2007
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2007
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2007
15,"firm, effect, find, level, large, small, evidence, size, result, export",,,2007
5,"business, practice, research, process, chapter, management, knowledge, approach, development, focus",,,2007
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2007
14,"system, energy, technology, design, environmental, project, management, sustainable, area, environment",,,2007
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2007
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2007
7,"social, study, research, explore, influence, experience, group, behaviour, network, individual",,,2007
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2007
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2007
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2007
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2007
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2007
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2007
16,"change, income, irish, tax, paper, household, demand, rate, consumption, increase",,,2007
15,"firm, effect, find, level, large, small, evidence, size, result, export",,,2007
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2007
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2007
5,"business, practice, research, process, chapter, management, knowledge, approach, development, focus",,,2007
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2007
17,"cost, show, structure, result, good, rule, reduce, case, optimal, study",,,2007
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2007
6,"information, time, method, problem, make, approach, provide, process, standard, option",,,2007
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2007
14,"system, energy, technology, design, environmental, project, management, sustainable, area, environment",,,2007
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2007
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2007
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2007
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2007
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2007
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2007
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2007
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2007
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2007
0,"datum, paper, analysis, provide, economic, regional, level, region, term, number",,,2007
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2007
5,"business, practice, research, process, chapter, management, knowledge, approach, development, focus",,,2007
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2007
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2007
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2007
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2007
7,"social, study, research, explore, influence, experience, group, behaviour, network, individual",,,2007
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2007
6,"information, time, method, problem, make, approach, provide, process, standard, option",,,2007
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2007
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2007
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2007
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2007
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2007
14,"system, energy, technology, design, environmental, project, management, sustainable, area, environment",,,2007
6,"information, time, method, problem, make, approach, provide, process, standard, option",,,2007
3,"paper, relationship, finding, consumer, study, company, purpose, base, approach, report",,,2007
6,"information, time, method, problem, make, approach, provide, process, standard, option",,,2007
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2007
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2007
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2007
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2007
7,"social, study, research, explore, influence, experience, group, behaviour, network, individual",,,2007
7,"social, study, research, explore, influence, experience, group, behaviour, network, individual",,,2007
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2007
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2007
6,"information, time, method, problem, make, approach, provide, process, standard, option",,,2007
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2007
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2007
16,"change, income, irish, tax, paper, household, demand, rate, consumption, increase",,,2007
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2007
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2007
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2007
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2007
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2007
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2006
17,"cost, show, structure, result, good, rule, reduce, case, optimal, study",,,2006
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2006
3,"paper, relationship, finding, consumer, study, company, purpose, base, approach, report",,,2006
0,"datum, paper, analysis, provide, economic, regional, level, region, term, number",,,2006
19,"policy, government, state, public, development, irish, local, political, interest, reform",,,2006
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2006
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2006
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2006
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2006
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2006
6,"information, time, method, problem, make, approach, provide, process, standard, option",,,2006
19,"policy, government, state, public, development, irish, local, political, interest, reform",,,2006
7,"social, study, research, explore, influence, experience, group, behaviour, network, individual",,,2006
19,"policy, government, state, public, development, irish, local, political, interest, reform",,,2006
19,"policy, government, state, public, development, irish, local, political, interest, reform",,,2006
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2006
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2006
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2006
5,"business, practice, research, process, chapter, management, knowledge, approach, development, focus",,,2006
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2006
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2006
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2006
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2006
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2006
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2006
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2006
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2006
14,"system, energy, technology, design, environmental, project, management, sustainable, area, environment",,,2006
7,"social, study, research, explore, influence, experience, group, behaviour, network, individual",,,2006
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2006
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2006
14,"system, energy, technology, design, environmental, project, management, sustainable, area, environment",,,2006
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2006
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2006
5,"business, practice, research, process, chapter, management, knowledge, approach, development, focus",,,2006
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2006
12,"service, year, health, child, care, study, programme, control, early, life",,,2006
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2006
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2006
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2006
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2006
19,"policy, government, state, public, development, irish, local, political, interest, reform",,,2006
5,"business, practice, research, process, chapter, management, knowledge, approach, development, focus",,,2006
5,"business, practice, research, process, chapter, management, knowledge, approach, development, focus",,,2006
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2006
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2006
3,"paper, relationship, finding, consumer, study, company, purpose, base, approach, report",,,2006
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2006
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2006
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2006
6,"information, time, method, problem, make, approach, provide, process, standard, option",,,2006
0,"datum, paper, analysis, provide, economic, regional, level, region, term, number",,,2006
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2006
17,"cost, show, structure, result, good, rule, reduce, case, optimal, study",,,2006
6,"information, time, method, problem, make, approach, provide, process, standard, option",,,2006
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2006
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2006
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2006
15,"firm, effect, find, level, large, small, evidence, size, result, export",,,2006
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2006
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2006
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2006
19,"policy, government, state, public, development, irish, local, political, interest, reform",,,2006
12,"service, year, health, child, care, study, programme, control, early, life",,,2006
5,"business, practice, research, process, chapter, management, knowledge, approach, development, focus",,,2006
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2006
5,"business, practice, research, process, chapter, management, knowledge, approach, development, focus",,,2006
12,"service, year, health, child, care, study, programme, control, early, life",,,2006
16,"change, income, irish, tax, paper, household, demand, rate, consumption, increase",,,2006
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2006
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2006
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2006
19,"policy, government, state, public, development, irish, local, political, interest, reform",,,2006
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2006
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2006
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2006
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2006
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2006
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2006
19,"policy, government, state, public, development, irish, local, political, interest, reform",,,2006
17,"cost, show, structure, result, good, rule, reduce, case, optimal, study",,,2006
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2006
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2006
16,"change, income, irish, tax, paper, household, demand, rate, consumption, increase",,,2006
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2006
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2006
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2006
3,"paper, relationship, finding, consumer, study, company, purpose, base, approach, report",,,2006
15,"firm, effect, find, level, large, small, evidence, size, result, export",,,2006
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2006
19,"policy, government, state, public, development, irish, local, political, interest, reform",,,2006
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2006
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2006
3,"paper, relationship, finding, consumer, study, company, purpose, base, approach, report",,,2006
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2006
14,"system, energy, technology, design, environmental, project, management, sustainable, area, environment",,,2006
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2006
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2006
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2006
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2006
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2006
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2006
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2006
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2006
19,"policy, government, state, public, development, irish, local, political, interest, reform",,,2006
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2006
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2006
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2006
3,"paper, relationship, finding, consumer, study, company, purpose, base, approach, report",,,2006
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2006
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2006
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2006
3,"paper, relationship, finding, consumer, study, company, purpose, base, approach, report",,,2006
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2006
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2006
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2006
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2006
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2006
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2006
15,"firm, effect, find, level, large, small, evidence, size, result, export",,,2006
7,"social, study, research, explore, influence, experience, group, behaviour, network, individual",,,2006
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2006
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2006
3,"paper, relationship, finding, consumer, study, company, purpose, base, approach, report",,,2006
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2006
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2006
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2006
14,"system, energy, technology, design, environmental, project, management, sustainable, area, environment",,,2006
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2006
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2006
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2006
16,"change, income, irish, tax, paper, household, demand, rate, consumption, increase",,,2006
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2006
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2006
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2006
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2006
14,"system, energy, technology, design, environmental, project, management, sustainable, area, environment",,,2006
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2020
7,"social, study, research, explore, influence, experience, group, behaviour, network, individual",,,2020
14,"system, energy, technology, design, environmental, project, management, sustainable, area, environment",,,2020
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2020
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2020
7,"social, study, research, explore, influence, experience, group, behaviour, network, individual",,,2020
3,"paper, relationship, finding, consumer, study, company, purpose, base, approach, report",,,2020
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2020
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2020
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2020
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2020
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2020
